아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
차가운직진녀,상위 10%,24.09.28,롱(+1000),블루,정사이즈예요,아주 만족해요,화면과 비슷해요,163,64,,"이 사이트에서 이번에 첨 옷을 구매해보는데..
퀄리티부터 디자인까지 모두 너무나 만족하게되네요 그중에 시 린넨셔츠는 블라우스라고하긴 조금 뻣뻣한감이있지만 그래서 저는 더 좋은거같아요 편하게 면바지나 조거팬츠 또는 청바지랑 매치해도 어디든좋을거같아요 핑크셔츠를 구매하고 추가로 재구매하게된 케이스라 두말할필요가없네요 좋습니다 믿고 앞으로도 구매할거예요 아묻따. 지그재그! 아묻따.크림치즈마켓 🫶",Free
CzJNzZgv,상위 10%,24.09.27,롱(+1000),블루,정사이즈예요,아주 만족해요,화면보다 어두워요,162,60,55,"예쁜 오버핏 이에요
살짝 두께감 있을줄 알았는데 보통 면 셔츠 두께고 찰랑거리지 않고 핏 유지될정도로 힘 있는 재질입니다
입고 찍은 후기는 많아서 디테일 찍었구요
박음질 꼼꼼하게 잘 되어있고 마감 깔끔합니다
받았을때 새옷냄새(석유냄새나 식초냄새같은..) 안났구요
색감이 애매해서 구매 망설였는데(코디사진의 연회색느낌을 원했는데 후기마다 색이 달라보이고 블루가 강한듯하여)저는 연보라에 하늘색한방울 느낌이었어요
사진찍으니까 색상이 빠지고 흐려보이게 나와서 회색느낌으로 많이 나오더라구요
네번째 사진이 그나마 제일 비슷한거같아요
마지막 사진은 색감비교차 파랑, 연보라 색상이랑 같이 찍었어요
생각보다 색상 진해요~전 맘에듭니다",Free
에이프릴pril,상위 10%,24.09.27,롱(+1000),블랙,생각보다 커요,보통이에요,화면과 비슷해요,200이상,130이상,99 이상,"1.사이즈: 골반보다 조금 아래정도의 기장이고 카라부분이 다른 셔츠보다 더 두툼하고 큰 느낌(목 짧은 사람은 목이 잘 안보일 정도로 큼)
2.핏: 팔부분이 좀 많이 오버핏이라 팔뚝살 커버 잘 됩니다.
3.소재: 구겨짐 정도는 중간. 특히 검은 옷보단 흰 옷이 더 티가 나는 듯.",Free
에이프릴pril,상위 10%,24.09.27,롱(+1000),아이보리,생각보다 커요,보통이에요,화면과 비슷해요,200이상,130이상,99 이상,"1.사이즈: 골반보다 조금 아래정도의 기장이고 카라부분이 다른 셔츠보다 더 두툼하고 큰 느낌(목 짧은 사람은 목이 잘 안보일 정도로 큼)
2.핏: 팔부분이 좀 많이 오버핏이라 팔뚝살 커버 잘 됩니다.
3.소재: 구겨짐 정도는 중간. 특히 검은 옷보단 흰 옷이 더 티가 나는 듯.",Free
26n6mkbU,상위 25%,24.09.25,롱,핑크,생각보다 커요,아주 만족해요,화면과 비슷해요,156,63,66,품이 넓어 아주 편하게 데일리로 입을 수 있습니다. 제가 피부가 예민한건지 재질이 약간 조금 거슬리긴했는데 한번 세탁하고 입으면 괜찮을지도! 색감도 베이직한 디자인도 품도 입고다니기 너무 편할거같아요 -!!,Free
OV6uKf0B,상위 15%,24.09.22,롱(+1000),핑크,정사이즈예요,보통이에요,화면과 비슷해요,167,52,55,색상은 화면만큼 쿨하지는 않고 살짝 따듯한 피치핑크에요. 그래도 쿨톤이 못입을 정도는 아니었어요. 톤다운 된 거 없이 완전 파스텔 색감입니다. 사진에 찍힌것보다는 채도가 조금 높아요. 핏은 오버핏에서 정핏 사이인것 같아요. 기장이나 팔길이는 괜찮고 주름은 생각보다는 잘 잡혀요. 대신 원단이 우둘두둘한 재질이라 티가 많이 안납니다. 한여름에는 덥고 바람 많이 부는 가을에는 레이어드 해야 할 만한 느낌이에요.,Free
짹짹,상위 25%,24.09.21,숏,소라(숏단독컬러),생각보다 커요,보통이에요,화면과 비슷해요,165,65,66,"일단 색은 괜찮아요. 너무 밝지도 않고 너무 어둡지도 않은 딱 이미지랑 같은 색이 왔어요.

다만 아쉬운 점이 있다면 옷 꺼내고 옷 갈아입어보려고 한 3분 밖에다 뒀는데 그동안 좀 구겨졌어요. 구겨짐이 심한 아이 같아요. 그리고 아이가 좀 뻣뻣해서, 어깨부분이 조금 이상하게 자리잡았어요. 뭔가 애매하게 크고, 어깨도 애매하게 붕떠있어서 그 점이 좀 아쉬운것 같아요.
그래도 위에 가디건이나 , 다른 조끼 매치하면 예쁠것 같아요. 잘 입겠습니다.",Free
qls2***,상위 5%,24.09.17,숏,베이지,정사이즈예요,아주 만족해요,화면과 비슷해요,160,70,77,"제작년에 소라색 롱버전으로 사서 2년동안 잘 입고 다니다가(그 땐 66사이즈) 시간지나 다시 가을이 와서 또 보게되어 유용하게 잘 입었던 기억에 숏버전도 새로 나왔겠다 재구매 했습니다 그 때보다 살이 조금 더 올라서 66 반 사이가 되어버려 걱정이 좀 많았는데 팔뚝살 부자인 저에게도 괜찮게 맞더라구요 ㅎㅎ 색감도 화면과 비슷하게 맞아떨어졌고 만세하면 배가 약간 보이는 길이감이긴 한데 이 정도면 대만족이라 생각하네요! 역시 크치마인가,,,",Free
뜨랑,상위 10%,24.09.05,롱,베이지,정사이즈예요,아주 만족해요,화면과 비슷해요,156,45,55,색상 상세 페이지랑 똑같아요! 딱 적당한 오버핏이고 엉덩이를 잘 덮어줍니다^0^ 재질 되게 좋아요 빳빳해서 다림질한대로 핏이 자연스럽게 잡히는 듯! 소매에 핀턱 디테일 몰랐는데 이쁘네용 둥글게 언발란스한 밑단도 맘에 듭니다요,Free
V20ziwUi,상위 25%,24.09.04,롱,아이보리,생각보다 커요,보통이에요,화면과 비슷해요,164,62,55,생각보다 크구요 일단 어깨 선이랑 오버핏이 심해서 좀 더 덩치가 커보이는 감이 없지 않아 있습니다. 근데 손목부분이나 재질이 좋고 구김도 생각보다 적어서 매우 만족함당 걸칠 때 입으랴구용!!,Free
