아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
EQYbuQ74,상위 20%,24.10.16,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,154cm,43kg,상의 44,핏도 제가 생각하던 살짝 오버핏이고 색감도 너무 예뻐요~ 요새 이것만 입어요 출근할때도 입고 친구랑 약속있어도 입고 색상 더 만들어주시면 다 살 수 있을거 같아요
p0kN8jZ7,상위 15%,24.10.06,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,172cm,58kg,상의 55,"키가 큰편이라 긴팔 옷은 팔길이를 항상 신경쓰는 편이에요
소매길이가 짧지 않아서 좋아요
전체적인 기장도 크롭하지 않아서 여유있어서 맘에들어요
색감은 상세사진이랑 거의 같구요~
지금 계절에 입기 딱 좋네요"
UsUQHRQO,상위 25%,24.10.02,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,52kg,상의 66,아주 살짝 오버핏인데 그건 상세페이지 보고 산거라 전 만족하는 핏 나왔어요! 가격에 비하면 퀄리티도 완전 좋고 어깨선 라인이 팔이아니라 비스듬하게 되어있어서 여리해보여서 예뻐요! 편하게 잘 입을듯요
9ID1MKBB,상위 30%,24.09.24,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,160cm,52kg,상의 55,"오트밀색상에 자수놓여진 맨투맨 사고싶었는디 원하던 색상과 핏이라 맘에들어요
안감이 까끌거리긴하지만 안에 티셔츠 레이어드해서 입어도 되니까 크게 상관없을것같아요
세탁 후 시보리가 멀쩡했으면 좋겠네요"
vO8H9zsD,상위 25%,24.09.19,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,161cm,60kg,상의 55,약칸이 아니라 좀 꽤나 냄새가 났지만 전 빨고 입으면 되니깐 괜찮았구요..핏은 아주 제가 생각했던 그대로라 아주 만족스러웠고 안쪽이 좀 거칠어서 팔에 닿는 느낌이 아쉬웠어요 하지만 겉으로 봤을땐 아무 문제 없어서 괜찮아여😆
IX3AuehZ,,24.05.03,그레이,FREE,생각보다 커요,보통이에요,화면과 비슷해요,160cm,53kg,상의 55,"직진배송 너무 조아요ㅠㅠㅠ
정55사이즈인데 약간 박시한 핏이라
받자마자 세탁 후 건조기 돌리니 
사이즈 딱좋아졌어요
다 좋은데 안이 까슬까슬거려서
따가워요ㅠㅠㅠㅠ"
M2Gqkx2q,,24.04.22,그레이,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,60kg,상의 55,옷 자체는 이쁜데 가슴이 조금 있어서인지 부해보입니다. 색상도 너무 이뻐요. 회색/남색/오트밀색 다 구매했어요. 안에 살짝 까슬하긴 한데 입을만합니다.
M2Gqkx2q,,24.04.22,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,60kg,상의 55,옷 자체는 이쁜데 가슴이 조금 있어서인지 부해보입니다. 색상도 너무 이뻐요. 회색/남색/오트밀색 다 구매했어요. 안에 살짝 까슬하긴 한데 입을만합니다.
M2Gqkx2q,,24.04.22,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,60kg,상의 55,옷 자체는 이쁜데 가슴이 조금 있어서인지 부해보입니다. 색상도 너무 이뻐요. 회색/남색/오트밀색 다 구매했어요. 안에 살짝 까슬하긴 한데 입을만합니다.
ofullm,상위 10%,24.04.14,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,57kg,상의 66,"아주 이뻐요 핏 완전 딱이고 편하고 좋습니다 많이 팔리는 이유가 있네요
카키색 치마에 입었는데 찰떡입니다요.!!!!
고민하지말구 사세요오오.!"
