아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
Pu3fTI16,,24.08.08,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,164,51,55,이 옷은 디자인이 세련되고 착용감이 정말 좋아요. 색상도 고급스러워서 어디에나 잘 어울립니다. 옷이 정말 예쁘고 핏도 완벽해요. 입었을 때 편안하면서도 스타일리시해서 자주 손이 갈 것 같아요.,Free
qu9Ap8si,상위 30%,24.08.08,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158,50,55,딱 제가 원했던 핏이고 여리여리해 보여서 너무 예뽀요!🌱 이번 여름 휴가 가서 사진도 진짜 많이 찍고 무난해서 안에 티셔츠 입고 레이어드 해도 예쁘고 단독으로 입어도 과하지 않아서 예쁩니당 🤍,Free
VrwpjYQW,상위 10%,24.08.04,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,152,48,55,"나름 여행간다고 과감한 나시로 도전해봤는데 결론은 성공적이네요!! 다른분들이 은근히 여리해보이고 말라보인다는 말만 믿고 질렀거든요…근데 진짜네요…? 완전 끈나시고 저렇게 파여서 다 드러나는데 그렇기때문에 말라보이는 효과가 있는거같아요! 제가 목도 짧고 쇄골도 부각안되는 체형이라 은근 상의 고르기 까다롭거든요 ㅠㅠ 근데 이거는 정말 괜찮네요!! 디자인도 깔끔하면서 적당히 귀엽고 포인트되요!!! 휴가때 잘 입었습니다! 참고로 니플패치만 해도 앞쪽이 많이 뜨지 않아서 안불안했어요!! 근데 많이 마르신분들은 아마
나시를 안에 입으셔야 덜 보일거같아요 ㅎㅎ",Free
ITp2JjNF,,24.07.26,Black,Free,정사이즈예요,별로예요,화면과 비슷해요,,,,"가격대비 퀄리티가 영....
면이 보풀 금방일어날거같은 재질에 
어깨끈 박음질도 엉망이네요 웬만한 실밥들은 당연하다 생각해서 제가 정리하는편인데 이건어쩌자는건지...
그냥 다른곳에서 사는게 나은거같아요",Free
rEdvK4wa,상위 5%,24.07.25,Ivory,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,155,40,44,"절대 이 가격으로 안보일 퀄리티 ㅋㅋㅋ
소재 빳빳하고 밀도 엄청 높아요.
방방하게 살아나는 느낌이고
셔링도 잡혀있어서 넘 예쁩니다ㅠ
다른 제품이랑 고민했는데 요거 사길 잘 한 것 같아요.
대만족템ㅎㅎ",Free
Q4QMt731,상위 5%,24.07.25,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,165,50,55,"입어보니까 너무 귀엽네요!!
이런 끈나시 스타일의 블라우스는 처음 사 보는데
제가 좀 까탈스러워서 단추 없고 가슴부분은 좀 뜨지 않고 길이 너무 짧지 않은 핏을 찾고 있었는데
마음에 쏙 듭니다!
끈 조절도 가능해서 굿!!
다만 주름이 잘 지는 재질이라 다려 입어야하는 점이 귀찮지만 가격대비 만족합니다~!",Free
oN0I271h,,24.07.22,Light Blue,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,161,51,55,가디건이랑 같이 입으니 예뻐욘! 급하게 샀는데 편하고 일단 어깨근 조절이 좋은거 같아요 붕 뜨기는 했는데 원래 알고 사서 상관은 없었고 가격이 저렴해서 퀄리티 기데 안했는데 이정도면 퀄리티 괜찮은 거 같네오 무난하게 입기 좋습니다 - 유교걸,Free
v2Ts0C2b,,24.07.20,Ivory,Free,작아요,보통이에요,화면과 비슷해요,160,53,55,"후기 믿고 샀는데 넘 맘에들어요. 
귀여운 느낌도 잇으면서도 동시에 힙한 무드까지!! 
재질도 탄탄하니 좋고, 옆에 자크가 있어서 입을 때 편해요
무엇보다 어깨조절이 돼서 좋네요~~ 
맘에들어요!",Free
jhj1****,상위 25%,24.07.11,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,163,53,66,"얇은 면 소재에 끈 조절이 가능한 블라우스예요~
여성스런 느낌이 물씬나고 귀여운데 하나 아쉬운 점이 옆 지퍼가 너무 뻑뻑해서 올리고 내리고가 쉽지 않아요 ㅠㅠ",Free
스텔라벨라,상위 5%,24.07.08,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167,52,55,"바캉스룩에 최적인 탑이예요~ 
옆에 지퍼가 있어서 겨드랑이쪽이 예쁘게 잡히는 것 같아요🫧
끈 길이 조절이 되서 맞춰 입을 수 있어서 좋아요!
예쁘게 입을게요~",Free
