아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
rBs5nVwi,,24.11.28,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,161cm,54kg,상의 55,"트임 포인트가 있어서 너무 흔하지는 않고, 살짝 신경쓴 느낌 내주기에 좋아요 ㅎㅎㅎ 슬림핏이긴 하지만 너무 얇기만 한것도 아니라 이너로 입기 괜찮습니당"
7XkDU9R4,상위 20%,24.11.28,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,48kg,상의 55,마감은 좀 아쉽지만 그래도 날씬해 보이는 기본티를 건졌네요! 뒤에 사선 포인트가 진짜 맘에 들어요! 포인트가 되서 좋네요!
drWiZEhh,,24.11.26,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,53kg,상의 55,진짜 모든색 모두 소장했어요... 핏이 진짜 미쳣어요. 기본티로도 좋고 단독으로 입어도 너무너무 예뻐요! 민트색 너무 예뻐요!
drWiZEhh,,24.11.26,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,53kg,상의 55,진짜 모든색 모두 소장했어요... 핏이 진짜 미쳣어요. 기본티로도 좋고 단독으로 입어도 너무너무 예뻐요! 민트색 너무 예뻐요!
oMXyqU91,,24.11.26,워터리민트,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,50kg,상의 55,그냥 존예입니다. 진짜 기본티지만 핏이 너무 예쁘고 컬러감도 딱 사진이랑 똑같아요. 다른 색도 사려구요!!!
VAawX4K7,,24.11.25,소프트블루,,정사이즈예요,아주 만족해요,화면보다 밝아요,164cm,52kg,상의 55,퀄리티는 너무 좋아요 핏되는 상의를 찾고있었는데 아주 맘에 들어요. 색감은 굉장히 밝은 하늘색이라 정말 밝은곳에서 보면 흰색과도 가까워요!
2KtnYAS7,,24.11.25,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,54kg,상의 55,이너로 입어도 되고 레이어해도 이쁘규 재질도 보들보들하구 완전 만족… 하얀색이랑 그레이 두개샀는데 다른색상도 사고싶다아ㅏ..
Jf3yGsie,상위 30%,24.11.24,워터리민트,,정사이즈예요,아주 만족해요,화면과 비슷해요,154cm,45kg,상의 44,절개라인과 밑에 트임이 포인트가 돼서 너무 내복처럼 보이지도 않고 심심해 보이지 않는 티입니당 색상이 연한 민트라 너무 예뻐용
PRECsel0,상위 20%,24.11.21,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,44kg,상의 44,"유튜브 추천 보고 샀는데 핏이나 착용감이나 퀄리티 다 마음에 들음
뒤에 나있는 절개선이 심심치 않게 만들어주는 포인트고 목 부분 낑기면 답답해지는 얼굴로서 아주 적절한 넥라인"
1ydIuAEz,,24.11.20,워터리민트,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,53kg,상의 55,색 이뻐서 만족스럽습니다! 절개 포인트도 잘 보이고 밑단 포인트도 예뻐서 이너로 입고 다니기 좋은 옷이에요. 생각했던 것보다 딱 달라붙는 옷이긴 합니다.
zZPWss9C,상위 15%,24.11.19,아이보리,,정사이즈예요,별로예요,화면과 비슷해요,161cm,45kg,상의 55,"그레이 구매하고 맘에 들어서 아이보리 구매햇어여
한번 입었는데 보풀파티여서 그레이보다 별로..
핏은 이쁨
뭔가 색도 누런색이라 썩 만족스럽진 않아요"
pX5YbYMi,,24.11.18,소프트블루,,정사이즈예요,아주 만족해요,화면보다 밝아요,,,,"얇고 딱 달라붙는 스타일입니다!
화면보다 색상을 밝은데 파스텔 톤이라 아주 예뻐요!
이너티로 입기도 좋고 여름에 단독으로 입어도 예쁠 것
같습니다!"
FRFJR2Uo,,24.11.17,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,45kg,상의 55,"쫀쫀하니 너무 좋았습니다!
쉽게 보풀이 일거나 늘어날 것 같지 않아서 좋았고 무지티이지만 뒤에 무늬 디테일이 들어가 있어서 예쁘네용"
yyss****,,24.11.17,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,50kg,상의 55,기본티로 최고에요 이때까지 있던 것들 중에 제일 좋은듯해요 넘 편하구 아래쪽 살짝 트여있어서 핏도 이뻐요 !! 다른 컬러도 살 예정입니댱🧡
pODXsTeH,,24.11.17,워터리민트,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,52kg,상의 55,"쫀쫀한 재질이라 자켓 이너로 입기 좋습니다!
색도 묘해서 예뻐요~
요즘처럼 쌀쌀한 날씨에 자켓 안에 걸쳐입고 더울땐 벗으면 딱 맞아요!"
NUdJvpdX,,24.11.15,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,170cm,62kg,상의 66,적당한 절개가 넘 예뻐서 잘 입고 다닐 수 있을거 같아요. 몸에 적당히 핏 되는게 넘 좋네요. 길이도 딱 적당해요. 잘 입을게요!
BrCIiHqf,상위 30%,24.11.14,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,55kg,상의 55,"만족만족 입니다!
쫀쫀하고 입기 아주
편해요
사진과 똑같습니다
재구매 의사있음
다른색도 더 구매해서
편하게 입어볼까해요"
SjXfUHvM,,24.11.12,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,53kg,상의 55,"핏도 예쁘고 기본템으로 딱이에요!
어깨가 좀 있는 저는 어깨가 사알짝 작지만 입을만 해요
기장이랑 파인정도도 적당하고 넘 추리해보이지 않으면서 예뻐요"
RGb8G7WN,상위 25%,24.11.12,라벤더핑크,,작아요,보통이에요,화면과 비슷해요,161cm,54kg,상의 55,생각보다 잘 늘어나고 제 기준 사이즈가 작았어요. 쫙 감긴다고 해야하나? 좀 탄탄해야 몸매보정이 되는데 아쉬워요. 색은 이뻐요! 기장도 적당하고
ldeeep,,24.11.11,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,47kg,상의 44,가격에 비해서 엄청 쫀쫀하고 입었을 땨 핏이 아주 예뻐요. 애매한 크롭 기장도 아니어서 안에 이너티로 입기 좋고 트임 포인트가 있어서 예뻐요.
daLzVyiD,,24.11.11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,60kg,상의 66,이쁩니다!! 라인 잘 잡아주고 괜찮은거 같아요 ㅎㅎ 스판기도 있어 편합니다!! 팔뚝살도 잘 잡아주는거 같아요 추천합니다!
