아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
Qt6zkZ1p,,24.10.02,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,53,,너무 마음에 들어요. 가슴부터 허리라인까지 딱 잡아주니까 몸매가 드러나 보이고 말라보여요. 여기 위에 남방셔츠 하나 딱 걸치고 나가니 꾸안꾸로 딱입니다!! 어깨도 넓게 나온 편이라 부담스럽지 않아요,Free
UnvbngP5,상위 20%,24.10.02,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,빠른 배송 감사합니다 다른 색상을 현대 팝업에서 구매해서 잘 입어서 다른 색상들도 구매해봤습니다 지금 입기에는 좀 추워서 내년에 잘 입어볼게요,Free
SYLfunqu,,24.10.06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,54,55,딱 붙는 핏으로 맞아요~ 겨드랑이 살도 야무지게 가려줍니다. 팔을 위아래로 흔들면 살이 금방 삐져나오기는 하는데 조심하면 괜찮을 것 같아요ㅎㅎ,Free
SYLfunqu,,24.10.06,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,54,55,딱 붙는 핏으로 맞아요~ 겨드랑이 살도 야무지게 가려줍니다. 팔을 위아래로 흔들면 살이 금방 삐져나오기는 하는데 조심하면 괜찮을 것 같아요ㅎㅎ,Free
f7pvhfyt,,24.10.05,챠콜브라운,,정사이즈예요,보통이에요,화면과 비슷해요,,,,색이 예뻐요 가을이랑 잘 어울리는 것 같아요 그리고 엄청 쫀쫀해요 부유방 커버도 잘 되는 것 같아요 이너로 입어도 좋고 단독으로 입어도 이뻐요,Free
Qt6zkZ1p,,24.10.02,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,53,,너무 마음에 들어요. 가슴부터 허리라인까지 딱 잡아주니까 몸매가 드러나 보이고 말라보여요. 여기 위에 남방셔츠 하나 딱 걸치고 나가니 꾸안꾸로 딱입니다!! 어깨도 넓게 나온 편이라 부담스럽지 않아요,Free
UnvbngP5,상위 20%,24.10.02,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,빠른 배송 감사합니다 다른 색상을 현대 팝업에서 구매해서 잘 입어서 다른 색상들도 구매해봤습니다 지금 입기에는 좀 추워서 내년에 잘 입어볼게요,Free
nN6Ya3l6,,24.09.21,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,48,44,처음에 민트? 연두색? 비슷한거 구매했다가 너무 만족해서 워터밤갈 때 입으려고 블루도 구매했습니다ㅎㅎ 부유방을 완벽커버해줘서 진짜 좋아요 한가지 신경쓸 게 있다면 겨땀 묻는거땜에ㅠㅠ 신경을 좀 썼습니닼,Free
PKm8wx8p,,24.09.20,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"왜 유명하고 인기있는지 알 것 같아요,,,
약간 제 몸인 것처럼 착 붙고 진짜 넘 편함 착 붙는다는게 기분 안 좋을 정도이거나 몸의 모양이 너무 부각될 정도로 붙는다는게 아니라 진짜 내 피부인 것처럼 편하다는 뜻이에요 나시같은거 입으면 안에 속옷을 맨날 벗고 막 어쩌구 해야해서 불편햇는데 이건 그냥 입어도 돼서 편함",Free
Happpie,,24.09.15,블랙,,작아요,아주 만족해요,화면과 비슷해요,160.0,61,66,"여름에 여행갈 때 입을 민소매가 필요한데 끈이 얇은 건 싫어서 유명한 걸로 한 번 구매해봤어요
제가 체격이 있는 편이라,, 쪼금 낑기지먼 이너로는 문제 없습니당",Free
ㄴFㄴF,,24.09.09,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,55,55,"무난하게 입을 수 있는 색상 3가지만 사봤는데, 전 색상을 사고 싶을 정도로 아주 만족합니다 !! 부유방도 엄청 잘 가려주고 쫀쫀해서 오래 입을 수 있을거같아요",Free
ㄴFㄴF,,24.09.09,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,55,55,"무난하게 입을 수 있는 색상 3가지만 사봤는데, 전 색상을 사고 싶을 정도로 아주 만족합니다 !! 부유방도 엄청 잘 가려주고 쫀쫀해서 오래 입을 수 있을거같아요",Free
ㄴFㄴF,,24.09.09,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,55,55,"무난하게 입을 수 있는 색상 3가지만 사봤는데, 전 색상을 사고 싶을 정도로 아주 만족합니다 !! 부유방도 엄청 잘 가려주고 쫀쫀해서 오래 입을 수 있을거같아요",Free
LH5LuUCo,,24.09.09,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,162.0,52,55,"나시 사고싶어서 엄청 검색하다가
계속 품절이길래 포기했었거든여…
재입고 되자마자 샀는데 진짜 잘산템 중에 하나
쫀쫀하고 부유방 커버 잘되고 많이 안파여있어여",Free
P135QGbo,,24.09.06,뮤트카키,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,48,44,보이는 그대로 짱짱한 민소매입니다 색깔이 제일 마음에 들어서 샀는데 화면 그대로의 색깔이라서 좋고 은근히 여기저기 다 입을 수 있어서 좋아요,Free
8ZSLR4rW,상위 25%,24.12.15,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,156.0,48,55,넥라인만 안늘어난다면 색별로 쟁이고 싶어요 단독보다는 레이어드해서 입으려고 산건데 니트안에 입기에 딱 좋습니다아,Free
cx0a4QFA,,24.12.03,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,57,55,"기대했던거보다 재질도 좋고 쫀쫀해서 너무 좋아요
소매가 처리가 잘되있어서 부유방도 돋보이지 않아서
너무 만족스럽네여 ㅋㅋ",Free
wOWdPvfd,상위 20%,24.11.26,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,174.0,62,55,"이번 여름에 다른색상으로 샀다가 만족해서 또 구매! 
브라운보단 차콜에 가까운거같고 진짜 휘뚤마뚤 잘입을수 있는 나시라 추천해요",Free
TRieLgfu,상위 30%,24.11.24,크림베이지,,정사이즈예요,보통이에요,화면과 비슷해요,161.0,55,55,"화면 그대로 이쁜 크림색입니다
겨울에 울자켓안에 입으려고 샀어요!!
자켓안벗으면 나시인거 티안나서 좋습니다ㅎㅎㅎ",Free
